Province;Regency;Category;Name;Price;Rating;Jumlah Rating
Aceh;Kota Sabang;Alam;I Love Sabang;;4.6;853
Aceh;Kota Sabang;Alam;Pantai Sumur Tiga;;4.4;12
Aceh;Kota Sabang;Alam;Rondo Island;;4.7;168
Aceh;Kota Sabang;Alam;Benteng Jepang;;4.6;971
Aceh;Kota Sabang;Alam;Rubiah Beach;;4.7;1021
Aceh;Kota Subulussalam;Alam;Alas River;;4.0;4
North Sumatra;Kabupaten Asahan;Alam;Air Terjun Turbo ( Turunan Bolon );;4.5;13
North Sumatra;Kabupaten Asahan;Alam;Air Terjun Simonang Monang;;4.0;17
North Sumatra;Kabupaten Asahan;Alam;Pansur Napitu;;4.3;63
North Sumatra;Kabupaten Asahan;Alam;Danau Kelapa Gading;;4.1;329
North Sumatra;Kabupaten Asahan;Alam;Danau Teratai;;3.7;32
North Sumatra;Kabupaten Asahan;Alam;Bedeng 7 river park;;4.1;206
North Sumatra;Kabupaten Asahan;Religi;Masjid Agung H. Achmad Bakrie Kisaran;;4.8;4028
North Sumatra;Kabupaten Asahan;Alam;Wisata Alam Mangrove Desa Silo Baru;;4.4;49
North Sumatra;Kabupaten Asahan;Alam;Waterboom Ragil;;4.0;491
North Sumatra;Kabupaten Asahan;Alam;Waterboom Blue;;3.6;138
North Sumatra;Kabupaten Asahan;Alam;Aek Saroha;;3.9;15
North Sumatra;Kabupaten Asahan;Alam;Hutan Kota Kisaran;;4.3;249
North Sumatra;Kabupaten Batu Bara;Alam;Singapore Land Waterpark Batu Bara;;4.1;1769
North Sumatra;Kabupaten Batu Bara;Alam;Dogi Park Waterboom Indrapura;;3.9;1010
North Sumatra;Kabupaten Batu Bara;Sejarah;Istana Niat Lima Laras;;4.2;256
North Sumatra;Kabupaten Batu Bara;Alam;Pantai Jono/Perjuangan;;3.6;431
North Sumatra;Kabupaten Batu Bara;Alam;Pemandian Air Panas Sumber Padi;;4.3;398
North Sumatra;Kabupaten Batu Bara;Alam;Pantai Sejarah Pantai Perupuk;;4.0;262
North Sumatra;Kabupaten Batu Bara;Alam;Alam Wisata Danau Laut Tador;;3.3;30
North Sumatra;Kabupaten Batu Bara;Alam;PEMANDIAN AIR PANAS  BATU BARA ( 50 );;4.3;29
North Sumatra;Kabupaten Batu Bara;Alam;Datuk Nature Tourism;;3.9;1142
North Sumatra;Kabupaten Dairi;Alam;Taman Wisata Iman Sitinjo. Dairi;;4.5;714
North Sumatra;Kabupaten Dairi;Alam;Tao Silalahi Hotel;;4.5;420
North Sumatra;Kabupaten Dairi;Religi;Parks Faith;;4.3;521
North Sumatra;Kabupaten Dairi;Alam;Pantai Silalahi;;4.3;292
North Sumatra;Kabupaten Dairi;Alam;Perkemahan Paropo;;4.6;131
North Sumatra;Kabupaten Dairi;Alam;Air Terjun Siringo;;4.5;101
North Sumatra;Kabupaten Dairi;Sejarah;Aek Sipaulak Hosa Loja;;4.6;101
North Sumatra;Kabupaten Dairi;Alam;Paropo Tepian Danau Toba;;4.8;88
North Sumatra;Kabupaten Dairi;Alam;Taman Wisata Iman;;4.3;143
North Sumatra;Kabupaten Dairi;Alam;Pemandian Alam Lau Timah;;4.3;64
North Sumatra;Kabupaten Dairi;Alam;Batu Sigadap;;4.7;18
North Sumatra;Kabupaten Dairi;Alam;"""Sicikecike"" Nature Park";;4.2;38
North Sumatra;Kabupaten Dairi;Alam;Mount Sibuatan;;4.3;349
North Sumatra;Kabupaten Dairi;Alam;Air terjun Lae Pendaroh;;4.0;23
North Sumatra;Kabupaten Deli Serdang;Religi;Maha Vihara Maitreya;;4.7;3675
North Sumatra;Kabupaten Deli Serdang;Sejarah;Kualanamu International Airport. Medan;;4.7;4139
North Sumatra;Kabupaten Deli Serdang;Alam;Air Terjun Sikulikap;;4.5;2522
North Sumatra;Kabupaten Deli Serdang;Alam;Hairos Water Park;;4.4;4572
North Sumatra;Kabupaten Deli Serdang;Religi;MASJID AL MUSANNIF;;4.8;2975
North Sumatra;Kabupaten Deli Serdang;Alam;Central Park Zoo & Resort;;4.5;2150
North Sumatra;Kabupaten Deli Serdang;Alam;Hillpark Sibolangit;;4.3;2957
North Sumatra;Kabupaten Deli Serdang;Alam;Penatapan Doulu;;4.5;1570
North Sumatra;Kabupaten Deli Serdang;Alam;Wisata Merci;;4.3;2913
North Sumatra;Kabupaten Deli Serdang;Alam;The Le Hu Garden;;4.2;3644
North Sumatra;Kabupaten Deli Serdang;Alam;Wisata Bunga;;4.5;934
North Sumatra;Kabupaten Deli Serdang;Alam;Club House Citra Land Gama City;;4.5;756
North Sumatra;Kabupaten Deli Serdang;Alam;Taman Bunga Madirsan;;4.5;792
North Sumatra;Kabupaten Deli Serdang;Sejarah;Tugu Timbangan;;4.3;1528
North Sumatra;Kabupaten Deli Serdang;Alam;Posko Air Terjun Satu Hati (Tibrena);;4.4;771
North Sumatra;Kabupaten Deli Serdang;Alam;Wisata Sawah Pematang Johar;;4.3;1153
North Sumatra;Kabupaten Deli Serdang;Alam;Taman Buah Lubuk Pakam;;4.5;512
North Sumatra;Kabupaten Deli Serdang;Alam;Taman Wisata Alam Sibolangit;;4.5;417
North Sumatra;Kabupaten Deli Serdang;Alam;Cave And Hot Springs Goa Ergendang Deli serdang Sumatra utara Indonesia;;4.3;901
North Sumatra;Kabupaten Deli Serdang;Sejarah;Magic Eye 3D Art Museum;;4.4;653
North Sumatra;Kabupaten Deli Serdang;Alam;Monako Park. Sibirubiru;;4.3;761
North Sumatra;Kabupaten Deli Serdang;Alam;T.GARDEN Little Bali in Medan;;4.2;1019
North Sumatra;Kabupaten Deli Serdang;Alam;Bintang Johor Swimming Pool;;4.3;672
North Sumatra;Kabupaten Deli Serdang;Alam;Waterpark Bima Utomo International;;4.1;1619
North Sumatra;Kabupaten Deli Serdang;Alam;Agrowisata Paloh Naga;;4.4;331
